productores_sociedad_matricula,productores_sociedad_tipo_id,productores_sociedad_id,productores_sociedad_denominacion,ramo
567,CUIT,30661792562,PROSPECT ASESORES DE SEGUROS S.A.   ,Patrimoniales y Vida
578,CUIT,30666757781,BA.TE.GO. S.A. ,Patrimoniales y Vida
586,CUIT,30677289909,GRUPO ABSA S.A. ,Patrimoniales y Vida
587,CUIT,30678556943,CINALLI INSURANCE BROKER S.A. ,Patrimoniales y Vida
591,CUIT,30663224383,ASESORES DE CORDOBA S.A. ,Patrimoniales y Vida
592,CUIT,30679834149,MIRANDA VITALE Y ASOCIADOS S.A. ,Patrimoniales y Vida
596,CUIT,30678375752,DEL BARCO Y LAUXMANN S.A. ,Patrimoniales y Vida
604,CUIT,30674748171,CUICCHI GAVEGLIO S.A. ,Patrimoniales y Vida
607,CUIT,30656170693,MOREY Y ASOC. S.A. ,Patrimoniales y Vida
609,CUIT,30707363599,DANIEL & EDUARDO TAHAN ASESORES S.C. ,Patrimoniales y Vida
611,CUIT,30680265360,LAURO ASESORES BROKERS DE SEGUROS S.R.L. ,Patrimoniales y Vida
612,CUIT,30679881678,ZACHARIAS S.A. ,Patrimoniales y Vida
618,CUIT,30664556665,GRUPO CUENCA S.R.L. ,Articulo 19
623,CUIT,30645250687,O.L.A.S. ASESORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
625,CUIT,30682938427,CLIPPER LIFE S.A. ,Patrimoniales y Vida
627,CUIT,30669372384,ELIDA DE ALASSIA Y CIA. S.C. ,Articulo 19
632,CUIT,30682945245,MAGNALIFE S.A. ,Patrimoniales y Vida
642,CUIT,30682970665,FULL COVER S.R.L. ,Patrimoniales y Vida
654,CUIT,30685146882,DIRECCION BS.AS. S.A. ,Patrimoniales y Vida
657,CUIT,30683016531,MANFRINO MARIANI DOLAN & ASOCIADOS S.R.L. ,Patrimoniales y Vida
664,CUIT,30666364496,CARLOS HORACIO PEREZ S.R.L. ,Articulo 19
678,CUIT,30688939050,MIDDLE SEA ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
693,CUIT,30689179750,SALTA S.A. ,Patrimoniales y Vida
700,CUIT,30667115554,SEGURARGEN S.R.L. ,Articulo 19
702,CUIT,33688323199,SUR INSURANCE BROKERS S.R.L. ,Patrimoniales y Vida
704,CUIT,30688993470,WORLD GROUP S.A. ,Patrimoniales y Vida
705,CUIT,30687327256,AON RISK SERVICES ARGENTINA S.A. ,Patrimoniales y Vida
706,CUIT,30674853307,RAUL Y PABLO NOVAIRA Y CIA. S.C.C. ,Articulo 19
710,CUIT,33692163619,ORGANIZACION MASCIA E HIJOS S.A. ,Patrimoniales y Vida
717,CUIT,30693200268,GARCIA SANTILLAN Y ASOCIADOS ,Patrimoniales y Vida
718,CUIT,30696049730,INSUBROKERS S.A. ,Patrimoniales y Vida
735,CUIT,30700936348,MESSIS ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
737,CUIT,30698410333,GDANSK GROUP S.A. ,Patrimoniales y Vida
740,CUIT,30665200856,OSCAR RAUL FERNANDEZ Y CIA. S.A. ,Patrimoniales y Vida
743,CUIT,30672085663,MILA S.A. ,Patrimoniales y Vida
746,CUIT,30699004223,RESPONSABILIDAD PROFESIONAL S.A. ,Patrimoniales y Vida
748,CUIT,33681810159,NATIONAL BROKERS S.A. ,Patrimoniales y Vida
